,strain,type,rating,effects,taste
632,Dawgs Waltz,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Happy,Sleepy","Earthy,Skunk,Sweet"
633,Dawgfather Og,hybrid,4.1,"Sleepy,Relaxed","Spicy/Herbal,Pepper,Pungent"
634,Day Tripper,hybrid,4,"Uplifted,Euphoric,Happy,Relaxed,Sleepy","Blueberry,Strawberry,Pineapple"
635,Deadhead Og,hybrid,4.4,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Diesel"
636,Deadwood,indica,3.9,"Happy,Talkative,Uplifted,Giggly,Relaxed","Berry,Lavender,Earthy"
637,Death Bubba,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Sweet"
638,Death Star,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Diesel,Pungent"
639,Deathstar Og,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Diesel,Earthy,Skunk"
640,Deep Cheese,hybrid,4.3,"Relaxed,Uplifted,Creative,Hungry,Talkative","Cheese,Pungent,Skunk"
641,Deep Chunk,indica,4.3,"Happy,Relaxed,Sleepy,Uplifted,Creative","Plum,Earthy,Ammonia"
642,Deep Purple,indica,3.9,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Grape,Earthy,Sweet"
643,Deep Sleep,indica,4.5,"Relaxed,Euphoric,Sleepy,Tingly,Happy","Pungent,Earthy,Sweet"
644,Delahaze,sativa,4.5,"Uplifted,Happy,Energetic,Focused,Talkative","Citrus,Mango,Sweet"
645,Denver Maple,indica,4.4,"Relaxed,Sleepy,Giggly,Tingly,Uplifted","Sweet,Earthy,Pine"
646,Desert Star,hybrid,4.8,"Hungry,Sleepy,Tingly,Uplifted,Creative",Earthy
647,Destroyer,sativa,4.9,"Energetic,Uplifted,Euphoric,Giggly,Happy","Lavender,Ammonia,Sweet"
648,Devil Fruit,indica,4.4,"Relaxed,Happy,Euphoric,Focused,Hungry","Spicy/Herbal,Pepper,Sweet"
649,Devils Tit,sativa,4.1,"Energetic,Focused,Relaxed,Talkative,Tingly","Spicy/Herbal,Pepper,Earthy"
650,Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted","Sweet,Earthy,Spicy/Herbal"
651,Diamond Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Earthy,Spicy/Herbal,Pine"
652,Diamond Socks,hybrid,4.3,"Happy,Relaxed",None
653,Diamond Valley Kush,hybrid,5,"Happy,Relaxed,Sleepy,Creative,Energetic","Earthy,Spicy/Herbal,Pungent"
654,Diesel Duff,hybrid,3.8,"Euphoric,Happy,Talkative,Giggly,Uplifted","Sweet,Flowery,Honey"
655,Dieseltonic,hybrid,4.1,"Relaxed,Sleepy,Giggly,Focused,Uplifted","Diesel,Earthy,Woody"
656,Digweed,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Giggly","Earthy,Skunk,Spicy/Herbal"
657,Dinachem,hybrid,4.7,"Talkative,Relaxed,Happy,Energetic,Giggly","Tropical,Pungent,Earthy"
658,Dirty Girl,sativa,4.5,"Uplifted,Happy,Focused,Euphoric,Energetic","Citrus,Sweet,Lemon"
659,Dirty Old Bastard,indica,5,None,"Spicy/Herbal,Flowery"
660,Dirty Widow,hybrid,4.2,"Uplifted,Energetic,Talkative,Tingly,Euphoric","Sweet,Earthy,Pungent"
661,Disney Blue,hybrid,4.5,"Happy,Creative,Energetic,Focused,Giggly","Sweet,Lime,Apple"
662,Dizzy Og,hybrid,5,"Giggly,Relaxed,Uplifted,Happy,Hungry","Sweet,Pungent,Spicy/Herbal"
663,Django,sativa,4.6,"Energetic,Uplifted,Happy,Talkative,Euphoric","Sweet,Flowery,Earthy"
664,Do Si Dos,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Sweet,Pungent"
665,Doctor Doctor,sativa,5,"Relaxed,Uplifted,Focused,Happy,Aroused","Sweet,Strawberry,Citrus"
666,Dog Shit,hybrid,4.3,"Creative,Euphoric,Relaxed,Uplifted,Happy","Pungent,Earthy,Berry"
667,Dogwalker Og,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Skunk,Pungent"
668,Dolla Sign Og Kush,indica,5,"Creative,Sleepy,Uplifted,Energetic,Hungry","Sweet,Flowery,Pungent"
669,Don Shula,hybrid,5,"Uplifted,Euphoric,Relaxed,Talkative,Happy","Citrus,Tropical,Diesel"
670,Donegal,hybrid,3.8,"Euphoric,Relaxed,Sleepy,Talkative,Energetic","Earthy,Woody,Pungent"
671,Donna Og,hybrid,4.6,"Creative,Euphoric,Relaxed,Happy,Hungry","Citrus,Pungent,Sweet"
672,Doobiebird Daydream,hybrid,4.6,"Euphoric,Tingly,Happy,Talkative,Relaxed","Blueberry,Earthy,Sweet"
673,Doox,sativa,4.4,"Uplifted,Energetic,Happy,Focused,Tingly","Sweet,Citrus,Lime"
674,Dopium,hybrid,4.5,"Relaxed,Euphoric,Focused,Energetic,Uplifted","Earthy,Pine,Pungent"
675,Dorit,indica,4.4,"Relaxed,Euphoric,Uplifted,Tingly,Sleepy","Ammonia,Spicy/Herbal,Minty"
676,Double Barrel Og,hybrid,4.2,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted","Earthy,Citrus"
677,Double Diesel,sativa,4.2,"Creative,Happy,Focused,Energetic,Euphoric","Diesel,Lime,Citrus"
678,Double Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Focused,Euphoric","Sweet,Earthy,Berry"
679,Double Dutch,hybrid,4.3,"Hungry,Uplifted,Talkative,Creative,Energetic","Tar,Earthy,Sweet"
680,Double Mint,indica,5,"Uplifted,Euphoric,Sleepy,Talkative,Tingly","Minty,Mint,Lemon"
681,Double Og,indica,4.6,"Sleepy,Happy,Euphoric,Relaxed,Focused","Earthy,Diesel,Skunk"
682,Double Purple Doja,indica,4.7,"Relaxed,Creative,Sleepy,Happy,Euphoric","Earthy,Grape,Pungent"
683,Double Tangie Banana,hybrid,4.4,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Sweet,Orange"
684,Double Tap,indica,5,"Talkative,Happy,Relaxed",None
685,Dougs Varin,sativa,5,"Uplifted,Creative,Energetic,Focused,Talkative",None
686,Dr Bubbles,hybrid,4,None,None
687,Dr Feelgood,hybrid,4.5,"Happy,Relaxed,Tingly,Euphoric,Sleepy","Earthy,Woody,Nutty"
688,Dr Funk,indica,4.6,"Relaxed,Happy,Tingly,Sleepy,Aroused","Earthy,Berry,Blueberry"
689,Dr Grinspoon,sativa,4.8,"Happy,Energetic,Uplifted,Creative,Talkative","Earthy,Citrus,Pungent"
690,Dr Quantum,hybrid,None,None,None
691,Dr Who,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Earthy,Berry"
692,Dragon Og,hybrid,4.4,"Uplifted,Happy,Relaxed,Euphoric,Focused","Diesel,Berry,Tropical"
693,Dragons Breath,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative","Spicy/Herbal,Earthy,Skunk"
694,Dreadlock,hybrid,4,"Focused,Relaxed,Talkative,Tingly,Uplifted","Earthy,Diesel,Sage"
695,Dream Beaver,sativa,4.7,"Happy,Uplifted,Energetic,Talkative,Creative","Pineapple,Woody,Spicy/Herbal"
696,Dream Berry,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Giggly","Berry,Citrus,Diesel"
697,Dream Lotus,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Spicy/Herbal,Woody,Tea"
698,Dream Police,hybrid,3.7,"Uplifted,Talkative,Energetic,Euphoric,Creative","Pepper,Blueberry,Citrus"
699,Dream Queen,hybrid,4.3,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Citrus,Sweet,Earthy"
700,Dream Star,hybrid,4.8,"Euphoric,Creative,Uplifted,Talkative,Relaxed","Earthy,Woody,Sweet"
701,Dreamers Glass,hybrid,4.4,"Uplifted,Euphoric,Creative,Relaxed,Giggly","Earthy,Skunk,Sweet"
702,Drizella,sativa,4.8,"Uplifted,Energetic,Happy,Euphoric,Giggly","Sweet,Earthy,Pungent"
703,Duke Nukem,hybrid,4.4,"Creative,Happy,Energetic,Focused,Euphoric","Sweet,Pungent,Earthy"
704,Durban Berry,hybrid,4.6,"Focused,Relaxed,Happy,Creative,Uplifted","Pine,Citrus,Lemon"
705,Durban Cheese,hybrid,4.2,"Hungry,Euphoric,Uplifted,Giggly,Relaxed","Blue,Cheese,Cheese,Earthy"
706,Durban Cookies,sativa,4.5,"Happy,Uplifted,Euphoric,Relaxed,Hungry","Sweet,Earthy,Woody"
707,Durban Poison,sativa,4.4,"Energetic,Happy,Uplifted,Euphoric,Focused","Earthy,Sweet,Pine"
708,Durga Mata,indica,4.9,"Relaxed,Happy,Giggly,Uplifted,Creative","Minty,Earthy,Citrus"
709,Dutch Crunch,hybrid,4.2,"Tingly,Focused,Hungry,Relaxed,Aroused","Spicy/Herbal,Pepper,Citrus"
710,Dutch Dragon,sativa,4.5,"Euphoric,Relaxed,Happy,Creative,Focused","Citrus,Sweet,Mint"
711,Dutch Hawaiian,sativa,4.3,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Citrus,Sweet,Tropical"
712,Dutch Haze,sativa,4,"Relaxed,Energetic,Creative,Happy,Aroused","Citrus,Earthy"
713,Dutch Kush,indica,3.9,"Hungry,Relaxed,Sleepy,Giggly,Creative","Coffee,Berry,Flowery"
714,Dutch Queen,hybrid,4.4,"Happy,Relaxed,Tingly,Talkative,Euphoric","Sweet,Earthy,Pungent"
715,Dutch Thunder Fuck,hybrid,4.9,"Uplifted,Euphoric,Talkative,Relaxed,Creative","Earthy,Citrus,Lemon"
716,Dutch Treat,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Pine,Earthy"
717,Dutch Treat Haze,hybrid,4.5,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Earthy,Citrus,Berry"
718,Dutchberry,hybrid,4.5,"Happy,Uplifted,Energetic,Relaxed,Creative","Berry,Sweet,Orange"
719,Dynamite,indica,4.4,"Relaxed,Euphoric,Happy,Hungry,Sleepy","Citrus,Grapefruit,Earthy"
720,Early Girl,indica,3.8,"Relaxed,Happy,Hungry,Uplifted,Talkative","Citrus,Earthy,Pine"
721,Early Miss,hybrid,3.9,"Creative,Euphoric,Relaxed,Aroused,Talkative","Pepper,Ammonia,Spicy/Herbal"
722,Early Pearl,sativa,3.9,"Relaxed,Hungry,Euphoric,Focused,Talkative","Sweet,Earthy,Tea"
723,Early Skunk,hybrid,4.1,"Relaxed,Uplifted,Hungry,Happy,Energetic","Flowery,Skunk,Earthy"
724,Earth Og,hybrid,4.2,"Relaxed,Sleepy,Hungry,Happy,Creative","Earthy,Spicy/Herbal,Pine"
725,Earthshaker Og,hybrid,4.4,"Happy,Euphoric,Aroused,Creative,Energetic",Earthy
726,East Coast Alien,sativa,4.4,"Happy,Euphoric,Hungry,Relaxed,Focused","Diesel,Earthy,Spicy/Herbal"
727,East Coast Sour Diesel,sativa,4.3,"Happy,Euphoric,Relaxed,Energetic,Uplifted","Diesel,Pungent,Lemon"
728,Eastern European,indica,5,"Sleepy,Happy,Relaxed","Earthy,Woody,Pine"
729,Easy Bud,hybrid,4.7,"Euphoric,Relaxed,Uplifted,Creative,Happy","Lemon,Skunk,Spicy/Herbal"
730,Easy Peezy,hybrid,4.5,"Relaxed,Sleepy,Uplifted,Creative,Euphoric","Lemon,Spicy/Herbal,Earthy"
731,Ebola 7,hybrid,4.5,"Talkative,Creative,Relaxed,Uplifted,Energetic","Sweet,Spicy/Herbal,Pine"
732,Ecto Cooler,hybrid,4.4,"Happy,Euphoric,Uplifted,Creative,Focused","Citrus,Earthy,Chemical"
733,Ed Rosenthal Super Bud,hybrid,4.3,"Uplifted,Relaxed,Focused,Creative,Euphoric","Earthy,Pine,Citrus"
734,Edelweiss,indica,4.1,"Happy,Relaxed,Hungry,Sleepy,Creative","Sweet,Lime,Earthy"
735,El Chapo Og,indica,4.7,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Earthy,Flowery,Pungent"
736,El Jeffe,indica,4.7,"Euphoric,Relaxed,Happy,Tingly,Uplifted","Earthy,Pungent,Pine"
737,El Nino,hybrid,3.8,"Happy,Sleepy,Relaxed,Uplifted,Talkative","Earthy,Woody,Spicy/Herbal"
738,El Perro,hybrid,4.9,"Happy,Relaxed,Uplifted,Euphoric,Sleepy","Pine,Earthy,Pungent"
739,El Na,hybrid,5,"Aroused,Tingly,Happy,Relaxed","Earthy,Pungent,Pine"
740,Elderberry Kush,hybrid,4.1,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Berry,Woody,Earthy"
741,Electric Black Mamba,indica,5,"Relaxed,Uplifted,Creative,Sleepy,Euphoric","Earthy,Pine"
742,Electric Kool Aid,hybrid,4.8,"Happy,Uplifted,Talkative,Euphoric,Giggly","Berry,Grape,Diesel"
743,Electric Lemon G,sativa,4.2,"Euphoric,Happy,Focused,Uplifted,Energetic","Lemon,Citrus,Lime"
744,Electric Lemonade,sativa,4.8,"Creative,Happy,Tingly,Uplifted,Energetic","Berry,Orange,Lemon"
745,Elephant,sativa,4,"Sleepy,Happy,Euphoric,Focused,Aroused","Sweet,Earthy,Tropical"
746,Elmers Glue,hybrid,4.8,"Hungry,Relaxed,Uplifted,Euphoric,Focused","Sage,Pepper,Sweet"
747,Elphinstone,sativa,4.5,"Happy,Uplifted,Focused,Talkative,Energetic","Sweet,Skunk,Tropical"
748,Elvis,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Talkative,Sleepy","Sweet,Earthy,Flowery"
749,Emerald Jack,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Creative","Earthy,Grape,Pine"
750,Emerald Og,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Citrus,Woody"
751,Emperor Cookie Dough,hybrid,4.9,"Uplifted,Relaxed,Euphoric,Giggly,Happy","Sweet,Citrus,Diesel"
752,Endless Sky,indica,4.5,"Euphoric,Happy,Relaxed,Sleepy,Hungry","Berry,Sweet,Butter"
753,Enemy Of The State,indica,4.1,"Euphoric,Aroused,Focused,Tingly,Giggly","Spicy/Herbal,Tree,Fruit,Earthy"
754,Enigma,indica,4.6,"Relaxed,Happy,Sleepy,Giggly,Euphoric","Citrus,Pungent,Flowery"
755,Eran Almog,indica,4.3,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Earthy,Citrus,Woody"
756,Erdpurt,indica,None,None,None
757,Erez,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Flowery,Berry,Blueberry"
758,Ethiopian,sativa,3,Hungry,Coffee
