,strain,type,rating,effects,taste
0,100 Og,hybrid,4,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus"
1,98 White Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel"
2,1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody"
3,13 Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit"
4,24K Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange"
5,3 Bears Og,indica,None,None,None
6,3 Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent"
7,303 Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy"
8,3D Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery"
9,3X Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet"
10,3Rd Coast Panama Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel"
11,501St Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk"
12,5Th Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine"
13,707 Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent"
14,8 Ball Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine"
15,818 Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery"
16,831 Og,indica,5,None,None
17,9 Pound Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry"
18,91 Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry"
19,A 10,indica,3.8,"Relaxed,Happy,Sleepy,Uplifted,Energetic","Citrus,Pungent,Sweet"
20,A Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy"
21,A Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus"
22,Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody"
23,Ak 47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody"
24,Ak 48,hybrid,4,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus"
25,Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical"
26,Abusive Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel"
27,Acapulco Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent"
28,Ace Killer Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal"
29,Ace Of Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody"
30,Aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon"
31,Acid,hybrid,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted","Lemon,Diesel,Earthy"
32,Acid Dough,sativa,5,"Talkative,Giggly,Happy,Hungry,Relaxed",None
33,Afcrack,hybrid,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted","Sweet,Flowery,Earthy"
34,Afghan Big Bud,indica,4,"Euphoric,Happy,Relaxed,Sleepy,Talkative","Pungent,Lemon,Peach"
35,Afghan Cow,sativa,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative","Sweet,Vanilla"
36,Afghan Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Diesel,Chemical"
37,Afghan Hawaiian,indica,4.1,"Tingly,Sleepy,Relaxed,Energetic,Aroused","Nutty,Earthy,Chestnut"
38,Afghan Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Earthy,Flowery,Tea"
39,Afghan Kush,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Flowery,Woody"
40,Afghan Skunk,indica,4.3,"Sleepy,Relaxed,Happy,Hungry,Giggly","Skunk,Woody,Sweet"
41,Afghan Sour Kush,indica,4.5,"Hungry,Relaxed,Aroused,Sleepy,Euphoric","Earthy,Diesel,Pungent"
42,Afghan Widow,hybrid,4.5,"Creative,Energetic,Euphoric,Focused,Uplifted","Flowery,Diesel,Sweet"
43,Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Pine"
44,Afgahni Bullrider,indica,4.4,"Focused,Uplifted,Happy,Creative,Relaxed","Lemon,Citrus,Sweet"
45,Afghani Cbd,indica,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative","Flowery,Chemical,Spicy/Herbal"
46,Afghanica,hybrid,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Sweet,Flowery,Skunk"
47,Afghanimal,indica,5,"Hungry,Relaxed,Aroused,Sleepy,Focused","Citrus,Skunk"
48,Afghooey,indica,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative","Earthy,Sweet,Woody"
49,Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody"
50,Afgooey,indica,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted","Woody,Pine,Pungent"
51,Afkansastan,indica,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Tobacco,Earthy"
52,Afpak,hybrid,4.2,"Relaxed,Creative,Focused,Sleepy,Happy","Pine,Spicy/Herbal,Earthy"
53,African,sativa,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative","Spicy/Herbal,Pungent,Pepper"
54,Afrikaner,sativa,None,None,None
55,Afternoon Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical"
56,Afwreck,hybrid,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Earthy,Pine,Pungent"
57,Agent Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy"
58,Agent Tangie,hybrid,4.5,"Uplifted,Happy,Creative,Euphoric,Focused","Skunk,Citrus,Orange"
59,Air Jordan Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel,Pine,Spicy/Herbal"
60,Als Dream,hybrid,3,"Talkative,Energetic",None
61,Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Earthy,Woody,Pine"
62,Alaska Thunder Grape,hybrid,5,"Tingly,Uplifted,Creative,Euphoric,Focused","Pepper,Strawberry,Grape"
63,Alaskan Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet,Earthy,Spicy/Herbal"
64,Alaskan Thunder Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Earthy,Woody,Pine"
65,Albert Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Mango,Blueberry"
66,Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese,Sweet,Spicy/Herbal"
67,Alf,hybrid,5,"Relaxed,Creative,Euphoric,Giggly,Happy","Diesel,Tropical,Pungent"
68,Alice In Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Mint,Sweet"
69,Alien Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Earthy,Nutty,Sweet"
70,Alien Apparition,hybrid,4,"Hungry,Energetic,Euphoric,Aroused,Tingly","Sweet,Pungent,Skunk"
71,Alien Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy"
72,Alien Bubba,indica,5,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Woody,Sweet"
73,Alien Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Woody"
74,Alien Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Sweet,Berry,Blueberry"
75,Alien Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Sweet,Earthy,Diesel"
76,Alien Inferno,hybrid,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic","Pine,Diesel,Earthy"
77,Alien Kush,indica,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Earthy,Woody,Flowery"
78,Alien Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Lemon,Citrus"
79,Alien Reunion,hybrid,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative","Pungent,Skunk,Cheese"
80,Alien Rift,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Grape,Earthy,Chemical"
81,Alien Rock Candy,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Sweet,Citrus,Earthy"
82,Alien Sour Apple,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy","Sweet,Lemon,Apple"
83,Alien Stardawg,sativa,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly","Diesel,Spicy/Herbal,Sage"
84,Alien Technology,indica,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy,Spicy/Herbal,Woody"
85,Aliens On Moonshine,indica,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly","Citrus,Sage,Grapefruit"
86,Allen Iverson Og,indica,5,"Uplifted,Euphoric,Happy,Relaxed",None
87,Allen Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Citrus,Earthy,Pungent"
88,Allkush,indica,5,"Relaxed,Sleepy,Uplifted,Happy","Spicy/Herbal,Honey,Earthy"
89,Aloha,sativa,4.2,"Energetic,Uplifted,Happy,Creative,Focused","Tropical,Sweet,Citrus"
90,Aloha Grape Stomper,hybrid,5,"Tingly,Uplifted,Euphoric,Giggly,Happy","Blueberry,Grape,Tropical"
91,Aloha Limone,hybrid,4.8,"Euphoric,Creative,Energetic,Talkative,Uplifted","Sweet,Citrus,Earthy"
92,Alohaberry,hybrid,4.2,"Energetic,Uplifted,Aroused,Tingly,Relaxed","Berry,Apple,Chestnut"
93,Alpha Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Earthy,Blueberry,Sweet"
94,Alpha Cow,sativa,5,None,None
95,Alpha Express,sativa,4.7,"Energetic,Focused,Talkative,Happy,Relaxed","Diesel,Earthy,Spicy/Herbal"
96,Alpha Og,hybrid,4.6,"Relaxed,Focused,Happy,Euphoric,Sleepy","Spicy/Herbal,Sweet,Berry"
97,Alpine Blue,hybrid,5,"Uplifted,Creative,Energetic,Aroused,Euphoric","Berry,Blueberry,Pine"
98,Alpine Star,indica,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Pine,Citrus,Earthy"
99,Ambrosia,hybrid,4.4,"Uplifted,Euphoric,Relaxed,Creative,Focused","Flowery,Lavender,Earthy"
100,American Dream,hybrid,4.7,"Focused,Euphoric,Tingly,Energetic,Relaxed","Earthy,Sweet,Pungent"
101,American Kush,indica,4.8,"Relaxed,Tingly,Sleepy,Uplifted,Happy","Sweet,Lemon,Lime"
102,Americano,indica,4.6,"Relaxed,Creative,Focused,Euphoric,Aroused","Earthy,Spicy/Herbal,Tobacco"
103,Amethyst Bud,hybrid,4.2,"Uplifted,Happy,Relaxed,Focused,Energetic","Berry,Lavender,Sweet"
104,Amnesia,sativa,4.3,"Happy,Euphoric,Energetic,Creative,Uplifted","Earthy,Sweet,Skunk"
105,Amnesia Ganja Haze,sativa,5,None,None
106,Amnesia Haze,sativa,4.3,"Happy,Euphoric,Uplifted,Energetic,Creative","Earthy,Citrus,Lemon"
107,Ancient Kush,indica,4.6,"Sleepy,Relaxed,Aroused,Creative,Energetic","Skunk,Cheese,Mint"
108,Ancient Og,indica,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Flowery,Nutty"
109,Anesthesia,indica,4.1,"Hungry,Sleepy,Relaxed,Happy,Euphoric","Earthy,Pungent,Sweet"
110,Angel Og,indica,5,"Happy,Relaxed,Uplifted,Sleepy,Euphoric","Pungent,Earthy,Berry"
111,Animal Cookies,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Sweet,Pungent"
112,Anonymous Og,indica,5,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Flowery,Coffee"
113,Anubis,indica,5,"Relaxed,Sleepy,Creative,Focused,Aroused","Grape,Lime,Earthy"
114,Ape Shit,hybrid,5,"Happy,Relaxed,Uplifted,Giggly,Talkative","Sweet,Grape,Lavender"
115,Apollo 11,hybrid,4.4,"Uplifted,Happy,Euphoric,Relaxed,Creative","Pungent,Citrus,Lemon"
116,Apollo 13,hybrid,4.4,"Happy,Euphoric,Energetic,Uplifted,Creative","Earthy,Spicy/Herbal,Sweet"
117,Appalachia,hybrid,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly","Pungent,Skunk,Earthy"
118,Appalachian Power,sativa,4.3,"Euphoric,Creative,Focused,Talkative,Uplifted","Tropical,Grape,Sweet"
119,Apple Jack,hybrid,3.6,"Happy,Relaxed,Focused,Energetic,Tingly","Apple,Sweet,Earthy"
120,Apple Kush,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Apple,Diesel,Pungent"
121,Appleberry,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Euphoric","Berry,Apple,Sweet"
122,Arctic Sun,hybrid,4.3,"Creative,Relaxed,Energetic,Euphoric,Focused","Ammonia,Skunk"
123,Arcticblue,hybrid,4.8,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Blueberry,Sweet,Earthy"
124,Area 51,hybrid,4.4,"Happy,Uplifted,Relaxed,Euphoric,Creative","Earthy,Citrus,Sweet"
125,Argyle,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Focused","Spicy/Herbal,Pungent,Earthy"
126,Arjans Strawberry Haze,sativa,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Strawberry,Sweet,Berry"
127,Arjans Ultra Haze 1,sativa,4.8,"Euphoric,Focused,Energetic,Relaxed,Creative","Minty,Earthy,Mint"
128,Armageddon,hybrid,4,"Uplifted,Giggly,Happy,Relaxed,Talkative","Diesel,Woody,Tropical"
129,Armagnac,hybrid,4.2,"Relaxed,Sleepy,Talkative,Giggly,Happy","Spicy/Herbal,Sweet,Flowery"
130,Ash,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Pungent,Skunk,Spicy/Herbal"
131,Asian Fantasy,sativa,4.4,"Euphoric,Hungry,Happy,Relaxed,Talkative","Earthy,Skunk,Woody"
132,Aspen Og,hybrid,4.1,"Focused,Happy,Energetic,Relaxed,Talkative","Blueberry,Spicy/Herbal,Earthy"
133,Astroboy,sativa,4.5,"Relaxed,Energetic,Happy,Creative,Focused","Sweet,Citrus,Grapefruit"
134,Athabasca,indica,4.6,"Talkative,Uplifted,Happy,Relaxed,Giggly","Earthy,Ammonia,Diesel"
135,Atmosphere,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Tingly","Flowery,Sweet,Citrus"
136,Atomic,hybrid,4.5,"Happy,Relaxed,Talkative,Creative,Euphoric",Earthy
137,Atomic Goat,hybrid,4.8,"Relaxed,Uplifted,Giggly,Tingly,Happy","Spicy/Herbal,Nutty,Sage"
138,Atomic Northern Lights,hybrid,4.2,"Talkative,Uplifted,Hungry,Tingly,Focused","Earthy,Pungent,Flowery"
139,Atomical Haze,sativa,4.4,"Happy,Relaxed,Energetic,Uplifted,Creative","Pungent,Minty,Citrus"
140,Aurora Borealis,indica,4.2,"Happy,Euphoric,Relaxed,Sleepy,Hungry","Earthy,Woody,Sweet"
141,Aurora Indica,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Spicy/Herbal,Tropical"
142,Avalon,hybrid,3.6,"Aroused,Tingly,Hungry,Uplifted,Giggly","Sweet,Earthy,Nutty"
143,Avi,hybrid,3,"Relaxed,Focused,Uplifted,Creative,Happy","Earthy,Pungent"
144,Avi Dekel,hybrid,4.5,"Relaxed,Uplifted,Happy,Focused,Energetic","Earthy,Flowery,Sweet"
145,Ayahuasca Purple,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Spicy/Herbal,Pungent,Earthy"
146,Azure Haze,hybrid,4.4,"Relaxed,Uplifted,Focused,Euphoric,Happy","Berry,Sweet,Blueberry"
147,B 52,indica,4.1,"Relaxed,Happy,Giggly,Focused,Uplifted","Sweet,Woody,Earthy"
148,B Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus"
149,B Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus"
150,B Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus"
151,B Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus"
152,Bb King,indica,3.8,"Sleepy,Happy,Relaxed,Uplifted,Creative","Lemon,Earthy,Citrus"
153,B4,hybrid,4.5,"Happy,Uplifted,Euphoric,Focused,Relaxed","Spicy/Herbal,Berry,Skunk"
154,Bc Big Bud,hybrid,4.5,"Relaxed,Euphoric,Happy,Creative,Sleepy","Earthy,Pungent,Tropical"
155,Bc Roadkill,hybrid,4.5,"Euphoric,Uplifted,Happy,Giggly,Relaxed","Skunk,Earthy,Woody"
156,Bc Sweet Tooth,indica,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric","Sweet,Honey,Tree,Fruit"
157,Bcn Diesel,hybrid,5,"Sleepy,Focused,Happy,Hungry",None
158,Bog Bubble,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Hungry","Flowery,Berry,Earthy"
159,Bsc,hybrid,4.5,"Relaxed,Happy,Hungry,Euphoric,Giggly","Earthy,Pungent,Sweet"
160,Bakerstreet,indica,3.7,"Euphoric,Relaxed,Giggly,Happy,Sleepy","Earthy,Diesel,Sweet"
161,Balmoral,hybrid,4.2,"Relaxed,Happy,Uplifted,Focused,Talkative","Earthy,Cheese,Pine"
162,Banana Cream Og,hybrid,4.8,"Relaxed,Creative,Tingly,Uplifted,Focused","Minty,Mint,Pine"
163,Banana Diesel,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Diesel,Earthy,Skunk"
164,Banana Kush,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Tropical,Tree,Fruit"
165,Banana Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Tropical,Earthy,Sweet"
166,Banana Peel,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Sleepy","Spicy/Herbal,Tropical,Earthy"
167,Bananas,hybrid,4.5,"Relaxed,Energetic,Happy,Uplifted,Focused","Tropical,Grape,Vanilla"
168,Bandana,hybrid,4.2,"Euphoric,Happy,Relaxed,Talkative,Creative","Earthy,Pungent,Woody"
169,Bangi Haze,sativa,None,"Aroused,Uplifted,Euphoric,Hungry","Berry,Tree,Fruit,Cheese"
170,Bango,hybrid,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused","Lime,Earthy,Pungent"
171,Barbara Bud,indica,3.6,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Citrus,Earthy,Mango"
172,Batgirl,hybrid,5,"Euphoric,Relaxed",None
173,Batman Og,indica,4.4,"Sleepy,Hungry,Happy,Relaxed,Giggly","Skunk,Pungent,Sweet"
174,Bay 11,sativa,4.5,"Happy,Relaxed,Uplifted,Energetic,Creative","Sweet,Earthy,Citrus"
175,Bay Dream,sativa,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Earthy,Sweet"
176,Bear Dance,hybrid,4.8,"Uplifted,Euphoric,Energetic,Focused,Giggly","Earthy,Minty,Sweet"
177,Beast Mode 20,indica,4.5,"Relaxed,Sleepy,Tingly,Happy,Euphoric","Earthy,Woody,Berry"
178,Beast Mode Og,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Talkative,Happy","Pine,Apricot,Earthy"
179,Bedford Glue,hybrid,5,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Pepper,Pine,Sage"
180,Bedica,indica,4.3,"Relaxed,Sleepy,Hungry,Focused,Euphoric","Pungent,Cheese,Woody"
181,Bediol,sativa,4.7,"Relaxed,Talkative,Happy,Focused,Uplifted","Mango,Citrus,Lemon"
182,Bell Ringer,indica,5,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Citrus,Pungent"
183,Belladonna,hybrid,4,"Happy,Sleepy,Giggly,Euphoric,Uplifted","Peach,Earthy,Butter"
184,Berkeley,sativa,4.3,"Talkative,Happy,Uplifted,Energetic,Focused","Citrus,Sweet,Pungent"
185,Bermuda Sour,hybrid,None,None,None
186,Berry Bomb,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Berry,Blueberry,Flowery"
187,Berry Larry,hybrid,4.8,"Relaxed,Uplifted,Creative,Euphoric,Talkative","Berry,Citrus,Orange"
188,Berry Noir,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Berry,Earthy,Sweet"
189,Berry Og,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Sleepy","Berry,Blueberry,Earthy"
190,Berry White,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Blueberry"
191,Berts Cookie Dough,hybrid,5,"Uplifted,Energetic,Happy,Hungry",None
192,Bertberry Cheesecake,sativa,5,"Uplifted,Creative,Euphoric,Focused,Energetic","Cheese,Berry,Tree,Fruit"
193,Bettie Page,hybrid,4.2,"Creative,Uplifted,Energetic,Euphoric,Relaxed","Earthy,Sweet,Blue,Cheese"
194,Bianca,hybrid,4.2,"Relaxed,Sleepy,Euphoric,Focused,Creative","Earthy,Woody,Spicy/Herbal"
195,Biddy Early,hybrid,4.2,"Creative,Euphoric,Focused,Uplifted,Energetic","Sweet,Flowery,Diesel"
196,Big Band,hybrid,4.6,"Relaxed,Happy,Euphoric,Hungry,Talkative","Sweet,Spicy/Herbal,Sage"
197,Big Bang,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Aroused","Sweet,Orange,Lemon"
198,Big Bud,indica,3.9,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Earthy,Skunk,Flowery"
199,Big Budda Cheese,hybrid,4.2,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Cheese,Earthy,Flowery"
200,Big Holy Nina,hybrid,4,"Talkative,Uplifted,Euphoric,Happy,Relaxed","Lime,Lemon,Earthy"
201,Big Kush,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Creative,Focused","Citrus,Lemon,Skunk"
202,Big Mac,indica,5,"Relaxed,Aroused,Sleepy,Talkative,Tingly","Sweet,Berry,Blueberry"
203,Big Skunk Korean,hybrid,4,"Talkative,Uplifted,Creative,Energetic,Hungry","Flowery,Skunk"
204,Big Sky Og,hybrid,4.7,"Relaxed,Tingly,Uplifted,Hungry,Sleepy","Pungent,Skunk,Diesel"
205,Big Smooth,hybrid,5,"Happy,Relaxed,Giggly,Uplifted,Aroused","Blueberry,Spicy/Herbal,Nutty"
206,Big Sur Holy Bud,sativa,4,"Relaxed,Uplifted,Focused,Euphoric,Energetic","Earthy,Menthol,Pine"
207,Big White,indica,4.2,"Relaxed,Uplifted,Happy,Sleepy,Euphoric","Flowery,Diesel,Sweet"
208,Big Wreck,indica,4.1,"Relaxed,Tingly,Euphoric,Happy,Uplifted","Earthy,Pungent,Nutty"
209,Biker Leblanc,hybrid,4.5,"Relaxed,Focused,Energetic,Euphoric,Aroused","Spicy/Herbal,Sage,Earthy"
210,Bio Diesel,hybrid,4.4,"Euphoric,Happy,Relaxed,Energetic,Uplifted","Diesel,Earthy,Pungent"
211,Bio Jesus,hybrid,4.6,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Chemical,Diesel"
212,Biochem,indica,4.4,"Relaxed,Euphoric,Tingly,Sleepy,Happy","Spicy/Herbal,Earthy,Cheese"
213,Birthday Cake Kush,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Vanilla,Lemon"
214,Black 84,indica,4.5,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Pungent,Earthy,Grape"
215,Black Afghan,indica,4.6,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Earthy,Pine,Pepper"
216,Black Betty,hybrid,4.5,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Sweet,Berry,Pungent"
217,Black Bubba,indica,4.5,"Happy,Relaxed,Sleepy,Tingly,Euphoric","Earthy,Flowery,Pine"
218,Black Cherry Cheesecake,hybrid,4.5,"Creative,Relaxed,Euphoric,Hungry,Uplifted","Berry,Sweet,Cheese"
219,Black Cherry Og,indica,4.4,"Relaxed,Uplifted,Happy,Giggly,Euphoric","Berry,Sweet,Earthy"
220,Black Cherry Pie,hybrid,5,"Relaxed,Uplifted,Creative,Euphoric,Happy","Earthy,Berry,Sweet"
221,Black Cherry Soda,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Sweet,Berry,Earthy"
222,Black Dhalia,hybrid,4,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Sweet,Earthy,Spicy/Herbal"
223,Black Diamond,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Woody,Berry"
224,Black Diesel,sativa,4.1,"Relaxed,Happy,Hungry,Talkative,Euphoric","Diesel,Pungent,Earthy"
225,Black Domina,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Pepper,Pine,Woody"
226,Black Haze,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Focused","Earthy,Pine,Flowery"
227,Black Ice,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Tingly","Earthy,Citrus,Sweet"
228,Black Jack,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Talkative","Earthy,Sweet,Pine"
229,Black Label Kush,indica,4.1,"Euphoric,Relaxed,Sleepy,Uplifted,Focused","Woody,Berry,Earthy"
230,Black Larry Bird,indica,4,"Tingly,Uplifted,Creative,Euphoric,Focused",None
231,Black Lime Special Reserve,indica,4.5,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Lime,Pepper,Citrus"
232,Black Magic,hybrid,4,"Happy,Relaxed,Uplifted,Euphoric",Earthy
233,Black Magic Kush,indica,4.2,"Happy,Relaxed,Sleepy,Hungry,Talkative","Earthy,Berry,Woody"
234,Black Mamba,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Talkative","Sweet,Grape,Berry"
235,Black Roses,indica,4,"Relaxed,Sleepy,Uplifted,Euphoric,Focused",None
236,Black Russian,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Hungry","Citrus,Berry,Earthy"
237,Black Tuna,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Woody,Skunk"
